datetime,open,high,low,close,volume,amount
2026-05-06 14:55:00,103.03,103.04,102.98,103.0,575543,59286289.4027
2026-05-06 15:00:00,102.99,103.02,102.98,103.0,681237,70167891.1023
2026-05-07 09:35:00,104.2,105.81,103.59,103.59,3223217,337573942.7347
2026-05-07 09:40:00,103.66,103.88,102.8,103.15,1453679,150162034.9297
2026-05-07 09:45:00,103.14,103.41,102.5,102.56,1009925,103967082.9934
2026-05-07 09:50:00,102.56,103.17,102.51,102.85,821709,84504380.342
2026-05-07 09:55:00,102.86,103.43,102.85,103.3,610900,63011943.9395
2026-05-07 10:00:00,103.31,103.4,103.0,103.28,388269,40065071.6777
2026-05-07 10:05:00,103.25,103.4,103.09,103.13,418500,43196273.6218
2026-05-07 10:10:00,103.12,103.43,103.0,103.2,438145,45249853.4995
2026-05-07 10:15:00,103.2,103.48,103.0,103.0,346900,35801390.0762
2026-05-07 10:20:00,103.0,103.1,102.87,103.08,275921,28414795.9934
2026-05-07 10:25:00,103.07,103.07,102.8,102.91,349970,36015196.0181
2026-05-07 10:30:00,102.88,102.92,102.73,102.83,328607,33778811.2851
2026-05-07 10:35:00,102.83,103.0,102.78,102.85,204440,21032334.2109
2026-05-07 10:40:00,102.85,103.1,102.7,103.0,252900,26019383.595
2026-05-07 10:45:00,103.0,103.01,102.66,102.85,248939,25590238.1753
2026-05-07 10:50:00,102.87,103.18,102.85,103.15,147653,15214312.791
2026-05-07 10:55:00,103.15,103.21,102.94,103.01,181400,18698747.8325
2026-05-07 11:00:00,103.0,103.11,102.9,102.9,171800,17696967.0234
2026-05-07 11:05:00,102.9,102.98,102.8,102.93,148800,15304683.9922
2026-05-07 11:10:00,102.94,103.0,102.8,102.8,141900,14598269.0039
2026-05-07 11:15:00,102.8,102.86,102.71,102.83,199600,20514464.0605
2026-05-07 11:20:00,102.84,103.0,102.82,102.9,154100,15857215.0039
2026-05-07 11:25:00,102.9,102.92,102.71,102.79,148100,15224674.0215
2026-05-07 11:30:00,102.78,102.96,102.78,102.94,138400,14237184.0117
2026-05-07 13:05:00,102.94,102.99,102.7,102.89,252000,25919668.9844
2026-05-07 13:10:00,102.9,102.92,102.68,102.84,270300,27782635.998
2026-05-07 13:15:00,102.86,103.07,102.77,102.95,205449,21146176.1035
2026-05-07 13:20:00,102.94,102.95,102.77,102.84,247100,25412717.8828
2026-05-07 13:25:00,102.84,103.2,102.84,103.19,252700,26027712.2765
2026-05-07 13:30:00,103.2,103.3,102.92,102.93,209400,21587195.0059
2026-05-07 13:35:00,102.93,103.29,102.92,103.23,273100,28173878.9844
2026-05-07 13:40:00,103.23,103.33,103.07,103.07,220800,22791159.0098
2026-05-07 13:45:00,103.07,103.18,102.95,103.18,242105,24946650.1416
2026-05-07 13:50:00,103.17,103.88,103.17,103.68,623700,64646187.5046
2026-05-07 13:55:00,103.68,103.82,103.52,103.54,316000,32770998.9688
2026-05-07 14:00:00,103.54,104.0,103.5,103.69,396100,41112399.9277
2026-05-07 14:05:00,103.69,103.99,103.65,103.8,426800,44326606.4519
2026-05-07 14:10:00,103.81,103.92,103.66,103.69,279000,28958412.9805
2026-05-07 14:15:00,103.69,103.7,103.56,103.57,203900,21124567.5859
2026-05-07 14:20:00,103.57,103.75,103.44,103.46,232335,24067302.7212
2026-05-07 14:25:00,103.5,103.62,103.45,103.56,135100,13990360.2349
2026-05-07 14:30:00,103.56,103.6,103.49,103.56,193249,20007255.2357
2026-05-07 14:35:00,103.55,103.77,103.5,103.74,246815,25583004.6323
2026-05-07 14:40:00,103.73,103.79,103.56,103.59,220760,22890043.6094
2026-05-07 14:45:00,103.59,103.75,103.52,103.73,350055,36267638.9961
2026-05-07 14:50:00,103.73,103.85,103.65,103.85,461217,47850556.3491
2026-05-07 14:55:00,103.85,103.96,103.82,103.91,826870,85897296.6362
2026-05-07 15:00:00,103.91,104.0,103.9,104.0,867200,90163594.0109
2026-05-08 09:35:00,103.02,103.23,101.75,102.83,1568963,160719108.3215
2026-05-08 09:40:00,102.84,103.36,102.7,102.88,574873,59204120.3809
2026-05-08 09:45:00,102.93,103.17,102.81,103.01,519900,53550928.0116
2026-05-08 09:50:00,103.01,103.8,102.98,103.46,601410,62198062.9629
2026-05-08 09:55:00,103.45,103.5,103.0,103.05,354010,36552567.2012
2026-05-08 10:00:00,103.05,103.88,102.98,103.7,417952,43215790.1406
2026-05-08 10:05:00,103.7,103.73,103.29,103.58,411815,42646499.6575
2026-05-08 10:10:00,103.58,103.6,103.32,103.4,296700,30696842.002
2026-05-08 10:15:00,103.38,103.45,103.0,103.02,301200,31075509.9961
2026-05-08 10:20:00,103.02,103.41,103.02,103.25,220500,22764858.9512
2026-05-08 10:25:00,103.26,103.35,103.08,103.1,309400,31923311.043
2026-05-08 10:30:00,103.09,103.17,102.92,103.11,314000,32356381.9668
2026-05-08 10:35:00,103.08,103.26,103.01,103.14,190765,19677296.0488
2026-05-08 10:40:00,103.14,103.4,103.05,103.32,218900,22599269.0293
2026-05-08 10:45:00,103.32,103.55,103.1,103.14,184000,19011648.0
2026-05-08 10:50:00,103.14,103.25,103.06,103.15,180413,18606169.1233
2026-05-08 10:55:00,103.15,103.17,102.96,103.0,286500,29519290.4141
2026-05-08 11:00:00,102.98,103.0,102.6,102.77,350093,35993807.4647
2026-05-08 11:05:00,102.77,102.81,102.28,102.42,547000,56038364.8765
2026-05-08 11:10:00,102.42,102.56,102.2,102.48,302410,30960272.5176
2026-05-08 11:15:00,102.46,102.8,102.4,102.68,273600,28079353.9824
2026-05-08 11:20:00,102.68,102.7,102.3,102.34,191300,19596187.9668
