date,open,high,low,close,volume,amount
2016-07-05,2253.69,2259.287,2229.001,2246.024,5354631085,12026629928056.04
2016-07-06,2239.759,2246.731,2229.267,2241.561,4609873188,10333311953166.469
2016-07-07,2240.896,2247.585,2212.414,2233.922,5504991872,12297722452681.984
2016-07-08,2231.969,2257.318,2220.205,2239.003,4756978102,10650888241312.307
2016-07-11,2242.26,2252.665,2216.568,2218.589,5318866969,11800379749886.74
2016-07-12,2218.02,2247.355,2182.031,2247.355,5516339764,12397173750324.22
2016-07-13,2258.264,2299.859,2250.64,2285.369,5809882473,13277725297437.537
2016-07-14,2282.158,2295.588,2273.421,2293.079,5029462532,11532954913416.03
2016-07-15,2289.104,2293.085,2260.163,2263.784,4706754748,10655076090446.432
2016-07-18,2257.418,2268.79,2234.21,2249.872,4174994496,9393203216704.512
2016-07-19,2249.735,2273.719,2236.996,2273.719,4135971011,9404035871159.91
2016-07-20,2272.644,2288.647,2268.527,2268.535,4368961604,9911142312330.139
2016-07-21,2266.083,2289.668,2259.202,2265.128,4510362619,10216548658450.232
2016-07-22,2262.102,2269.552,2248.303,2249.999,4042039749,9094585393210.25
2016-07-25,2245.864,2264.439,2235.446,2245.885,3743720824,8407966442809.241
2016-07-26,2245.937,2279.55,2245.937,2279.55,3616550351,8244107352622.051
2016-07-27,2282.066,2284.283,2138.781,2155.386,6331511460,13646851159723.56
2016-07-28,2150.318,2166.603,2109.869,2139.744,4303852066,9209141635111.105
2016-07-29,2144.272,2147.195,2109.132,2122.412,3165413997,6718312652200.764
2016-08-01,2113.674,2118.091,2066.175,2099.179,3283723885,6893124221190.415
2016-08-02,2096.551,2114.954,2094.116,2113.214,2510219893,5304631820966.102
2016-08-03,2110.234,2117.618,2096.732,2108.315,2658935319,5605873217077.485
2016-08-04,2107.623,2133.177,2102.272,2129.652,3187235362,6787702163154.024
2016-08-05,2128.74,2129.329,2107.438,2109.056,2835430976,5980082712518.656
2016-08-08,2102.242,2130.594,2083.98,2130.594,2654657545,5655997437431.73
2016-08-09,2128.64,2154.505,2128.219,2154.505,3363436205,7246540120853.525
2016-08-10,2155.386,2164.625,2136.832,2137.001,3255243729,6956459104116.7295
2016-08-11,2134.604,2139.196,2103.396,2103.396,2977519571,6262902755563.116
2016-08-12,2098.774,2123.865,2097.909,2123.841,2591943701,5504876301875.541
2016-08-15,2126.791,2200.919,2112.25,2193.212,4746990977,10411157574648.123
2016-08-16,2195.024,2211.008,2192.969,2201.096,4189422940,9221322075542.24
2016-08-17,2200.236,2218.29,2195.368,2208.195,3830964110,8459515792881.45
2016-08-18,2204.955,2213.305,2191.934,2201.594,3787395604,8338307437392.776
2016-08-19,2200.681,2211.063,2194.111,2204.556,3407996903,7513120020490.068
2016-08-22,2205.576,2213.41,2167.401,2167.401,3711642142,8044616890212.941
2016-08-23,2168.338,2186.737,2160.296,2174.159,3019224011,6564273056531.749
2016-08-24,2178.528,2204.799,2176.347,2192.17,3455848600,7575807625462.0
2016-08-25,2179.015,2183.729,2152.113,2180.66,3857329383,8411523892332.779
2016-08-26,2186.004,2211.628,2182.107,2189.75,3940249533,8628161414886.75
2016-08-29,2187.723,2209.252,2183.812,2193.201,3781478481,8293542386007.681
2016-08-30,2197.486,2210.397,2193.071,2195.531,3638841520,7989189361247.12
2016-08-31,2194.607,2198.251,2175.839,2191.758,3423235995,7502904877929.209
2016-09-01,2192.941,2201.284,2181.327,2181.327,3532038323,7704530558994.622
2016-09-02,2176.391,2187.695,2160.116,2170.858,3446346930,7481529803765.94
2016-09-05,2178.635,2199.655,2178.095,2182.694,3135062888,6842882955260.271
2016-09-06,2183.227,2225.255,2161.926,2222.837,4613465398,10254981584894.125
2016-09-07,2223.019,2232.121,2208.833,2212.053,4876806627,10787754729675.23
