date,open,high,low,close,volume,amount
2016-01-04,1032.571,1035.77,940.749,940.971,1294557184,1218140767985.664
2016-01-05,903.557,956.863,898.967,941.72,1761119104,1658481082618.8801
2016-01-06,938.989,961.154,926.242,956.842,1407399296,1346658757183.232
2016-01-07,928.245,931.296,864.07,866.505,470919200,408053841396.0
2016-01-08,890.95,926.264,841.074,889.799,2333246720,2076120598209.28
2016-01-11,862.331,873.12,816.633,817.408,1867210240,1526272587857.92
2016-01-12,830.123,850.829,822.393,831.043,1620526208,1346726961474.944
2016-01-13,839.697,851.638,823.583,824.903,1747065984,1441159971399.552
2016-01-14,796.427,851.144,796.427,849.719,1716095232,1458198724439.808
2016-01-15,842.219,845.532,812.815,822.01,1467258752,1206101366731.52
2016-01-18,805.152,837.918,805.152,825.468,1061973120,876624827420.1599
2016-01-19,826.492,859.646,821.909,854.488,1568984320,1340678273628.1602
2016-01-20,849.787,859.052,838.89,845.176,1323003776,1118171039384.5762
2016-01-21,834.572,856.38,807.26,807.26,1319506432,1065184762296.32
2016-01-22,819.196,825.515,797.137,818.612,965241920,790158618615.0399
2016-01-25,822.268,830.391,813.93,821.169,876599808,719836587735.552
2016-01-26,809.647,812.295,745.381,747.064,1516344832,1132806635573.248
2016-01-27,749.64,754.808,708.535,736.548,1647908864,1213763977961.472
2016-01-28,730.369,753.711,716.051,719.197,1347767040,969310011866.88
2016-01-29,723.262,767.708,722.423,761.388,1768517760,1346528200250.8801
2016-02-01,755.827,758.143,735.328,747.693,1160255232,867514715179.776
2016-02-02,748.08,775.778,747.806,769.12,1154915328,888268477071.36
2016-02-03,758.44,767.797,751.145,764.749,967766528,740098484521.472
2016-02-04,769.573,784.951,769.573,777.055,1138212864,884453997035.5199
2016-02-05,764.699,768.77,751.29,751.29,1072605824,805838029512.96
2016-02-15,724.316,744.264,724.316,739.961,769368832,569302930295.552
2016-02-16,747.803,778.27,747.803,775.832,1360038528,1055161411255.296
2016-02-17,772.459,784.276,770.075,783.418,1251638400,980556052051.2
2016-02-18,791.048,809.394,781.784,782.105,1493480064,1168058225454.72
2016-02-19,779.651,792.303,776.862,787.467,961881664,757450068305.088
2016-02-22,800.881,827.067,792.066,815.839,1798332544,1467149824364.416
2016-02-23,815.629,815.629,791.715,801.86,1249879296,1002228212290.56
2016-02-24,798.008,808.35,785.03,807.788,1148788096,927977238491.6481
2016-02-25,804.709,804.709,731.448,735.638,1698528640,1249502211672.32
2016-02-26,744.841,750.573,726.065,742.87,1170290816,869373938481.92
2016-02-29,737.615,737.721,695.838,716.98,1460323328,1047022619709.4401
2016-03-01,720.123,767.917,712.276,747.525,1581696128,1182357398083.2
2016-03-02,749.474,796.729,747.228,794.009,2175695360,1727521697098.24
2016-03-03,789.441,802.466,783.178,789.45,1834708992,1448411013734.4001
2016-03-04,785.609,801.081,776.071,794.731,2204396032,1751901862907.392
2016-03-07,803.779,812.726,794.971,799.635,1447302400,1157313654624.0
2016-03-08,797.216,799.664,763.17,799.664,1380829056,1104199286237.184
2016-03-09,779.288,792.504,773.084,789.002,1185059328,935014179910.6559
2016-03-10,783.291,789.702,763.336,763.464,834290560,636950808099.8401
2016-03-11,753.777,782.829,753.058,774.665,1000944768,775396878702.72
2016-03-14,783.162,815.164,779.569,794.076,1724964608,1369752996062.208
2016-03-15,790.526,792.756,776.93,788.988,982339456,775054042710.5281
2016-03-16,788.263,800.223,787.806,791.845,1391703296,1102013296421.12
2016-03-17,795.898,824.152,789.713,814.119,1861260160,1515287260199.04
2016-03-18,818.276,854.061,816.114,842.838,2984240896,2515231628302.8477
2016-03-21,873.293,927.105,873.054,926.753,5464903680,5064615880151.04
2016-03-22,913.891,921.982,892.853,899.425,3780923392,3400657021849.5996
2016-03-23,892.104,919.209,885.435,914.915,2950499584,2699456326895.36
2016-03-24,895.66,899.46,872.774,872.8,2378911232,2076313723289.5999
2016-03-25,870.318,885.497,869.792,882.05,1790925824,1579686123059.2
2016-03-28,882.824,892.349,858.882,861.083,1704363392,1467598342673.536
2016-03-29,862.714,872.243,845.874,857.369,1763444224,1511922410886.656
2016-03-30,871.33,888.827,871.0,885.944,2204292352,1952879583500.2878
2016-03-31,891.495,911.478,882.004,888.631,2307933440,2050901200720.64
2016-04-01,883.944,890.936,864.632,883.093,1580379904,1395622430563.072
2016-04-05,879.684,911.178,878.978,899.776,2038618752,1834300226199.552
2016-04-06,894.064,903.294,883.947,893.82,1429433856,1277656569169.9202
