date,sh_amount,sz_amount,market_amount
2016-01-04,60789070216113.4,238165521769599.0,298954591985712.4
2016-01-05,87743115998201.3,337494502891929.56,425237618890130.9
2016-01-06,80309876267280.0,297222473809100.75,377532350076380.75
2016-01-07,22052865051324.6,77110216723289.6,99163081774614.19
2016-01-08,91271847251066.39,310496523789459.44,401768371040525.8
2016-01-11,81946860921446.4,266850778503512.1,348797639424958.5
2016-01-12,62772617261854.195,224029430625058.8,286802047886913.0
2016-01-13,57305391701128.2,208498008385237.0,265803400086365.2
2016-01-14,64034544727095.59,236395048376180.72,300429593103276.3
2016-01-15,57648568134608.99,221114270546534.38,278762838681143.38
2016-01-18,47990806226587.8,196387469297717.25,244378275524305.06
2016-01-19,61742776862151.7,243047651785445.38,304790428647597.06
2016-01-20,64447054542295.6,238086748657670.16,302533803199965.75
2016-01-21,55211831151197.6,209545300031496.2,264757131182693.78
2016-01-22,46609791397650.8,180105002652848.12,226714794050498.94
2016-01-25,44970756458035.5,168320708087565.3,213291464545600.8
2016-01-26,57975381874839.0,202936878786758.66,260912260661597.66
2016-01-27,59012016871166.8,208568045523640.3,267580062394807.12
2016-01-28,45443745390508.0,153362001977217.03,198805747367725.03
2016-01-29,51103629498560.0,170370858337296.38,221474487835856.38
2016-02-01,42049305558937.59,143235869529434.1,185285175088371.7
2016-02-02,43464710661927.0,161077489125324.8,204542199787251.8
2016-02-03,40649663147559.9,152997723007524.88,193647386155084.78
2016-02-04,47383631084441.41,175990883310178.3,223374514394619.72
2016-02-05,39016716634372.805,142518070450737.12,181534787085109.94
2016-02-15,35498409300267.195,132812735104143.34,168311144404410.53
2016-02-16,55585903138559.4,201310404484380.7,256896307622940.1
2016-02-17,62195407052965.01,234497973555286.03,296693380608251.06
2016-02-18,62755723358458.9,239997102948532.25,302752826306991.1
2016-02-19,46730287239967.305,193501591432878.1,240231878672845.4
2016-02-22,67961990574135.01,244704238674862.1,312666229248997.1
2016-02-23,57991325884845.305,234805598863188.0,292796924748033.3
2016-02-24,62505682005606.41,229146944919072.78,291652626924679.2
2016-02-25,74091580393792.0,258267471796789.22,332359052190581.25
2016-02-26,52884280922312.0,199612119313481.72,252496400235793.72
2016-02-29,55751563016711.09,188567938679859.2,244319501696570.28
2016-03-01,51166976698431.0,195863619047424.0,247030595745855.0
2016-03-02,77215464474122.3,263470670216077.3,340686134690199.6
2016-03-03,82211811087318.0,281797062371143.7,364008873458461.7
2016-03-04,89815705249584.3,248427944657332.22,338243649906916.5
2016-03-07,63007536261624.0,192801499969781.75,255809036231405.75
2016-03-08,67742355735080.7,224820215730358.28,292562571465439.0
2016-03-09,52486505173894.8,171722141999054.84,224208647172949.62
2016-03-10,38979930773268.6,141817627523606.53,180797558296875.12
2016-03-11,35760469173907.8,118927748814274.56,154688217988182.38
2016-03-14,55707624296896.99,199659344557486.06,255366968854383.06
2016-03-15,46799954058145.6,164243700649649.16,211043654707794.75
2016-03-16,53531376724005.0,150149964297883.66,203681341021888.66
2016-03-17,58180942000921.59,228075602965094.4,286256544966016.0
2016-03-18,92594523183525.0,322064504443590.6,414659027627115.6
