model,entry_date,exit_date,entry_price,exit_price,return,holding_days
D,2017-02-13,2017-02-28,35.73,35.34,-0.010915197313181912,15
D,2017-04-20,2017-04-25,30.11,27.2,-0.09664563268017268,5
D,2017-06-13,2017-06-22,29.59,31.55,0.06623859411963506,9
D,2017-07-13,2017-07-17,29.69,25.17,-0.15223981138430442,4
D,2017-07-18,2017-07-19,21.36,21.48,0.005617977528090012,1
D,2017-07-20,2017-07-21,21.76,21.91,0.006893382352941124,1
D,2017-09-15,2017-09-19,30.56,32.26,0.05562827225130884,4
D,2017-09-22,2017-09-27,30.03,30.94,0.030303030303030276,5
D,2017-11-10,2017-11-13,27.26,27.72,0.01687454145267786,3
D,2017-11-21,2017-11-24,24.19,23.33,-0.03555188094253847,3
D,2018-01-03,2018-01-05,22.33,22.68,0.01567398119122254,2
D,2018-02-01,2018-02-02,26.65,25.8,-0.031894934333958735,1
D,2018-07-26,2018-07-30,16.26,15.61,-0.039975399753997665,4
D,2018-10-24,2018-10-25,12.69,11.85,-0.06619385342789597,1
D,2018-11-01,2018-11-16,15.66,18.41,0.17560664112388258,15
D,2019-02-11,2019-02-13,19.92,22.05,0.10692771084337327,2
D,2019-03-06,2019-03-07,45.91,49.12,0.06991940753648462,1
D,2019-03-08,2019-03-13,44.84,54.12,0.20695807314897396,5
D,2019-04-08,2019-04-09,75.04,78.04,0.03997867803837951,1
D,2019-04-11,2019-04-15,69.46,70.04,0.00835012957097625,4
D,2019-04-16,2019-04-19,61.99,63.04,0.016938215841264537,3
D,2019-09-11,2019-09-12,76.97,73.75,-0.041834480966610244,1
D,2019-09-26,2019-10-08,62.22,60.18,-0.032786885245901676,12
D,2019-10-16,2019-10-17,59.82,58.75,-0.017886994316282157,1
D,2019-10-30,2019-11-04,58.04,58.64,0.010337698139214258,5
D,2019-11-08,2019-11-12,57.31,55.39,-0.03350200663060554,4
D,2019-12-18,2019-12-20,69.46,68.74,-0.010365678088108288,2
D,2019-12-26,2019-12-31,63.71,66.25,0.03986815256631604,5
D,2020-02-19,2020-02-20,75.18,74.88,-0.00399042298483665,1
D,2020-02-26,2020-02-27,89.46,83.24,-0.06952828079588647,1
D,2020-03-04,2020-03-05,80.76,85.44,0.05794947994056465,1
D,2020-04-15,2020-04-20,73.34,72.21,-0.015407690209981006,5
D,2020-06-01,2020-06-04,68.16,68.9,0.010856807511737232,3
D,2020-07-08,2020-07-09,106.18,110.87,0.04417027688830277,1
D,2020-07-10,2020-07-17,112.21,99.44,-0.11380447375456737,7
D,2020-07-24,2020-07-27,95.79,89.42,-0.06649963461739217,3
D,2020-07-30,2020-07-31,89.93,88.57,-0.015122873345935983,1
D,2020-10-13,2020-10-14,107.21,106.31,-0.00839473929670731,1
D,2020-12-22,2020-12-23,86.86,85.29,-0.0180750633202853,1
D,2020-12-31,2021-01-08,74.36,81.31,0.09346422807961274,8
D,2021-04-20,2021-04-26,75.93,78.79,0.037666271565915954,6
D,2021-04-28,2021-05-07,68.06,64.64,-0.050249779606229894,9
D,2021-05-18,2021-05-20,68.01,69.11,0.016174092045287525,2
D,2021-06-15,2021-06-17,66.69,65.85,-0.012595591542960083,2
D,2021-07-08,2021-07-12,64.94,65.57,0.009701262704034264,4
D,2021-07-13,2021-07-14,65.05,63.63,-0.021829362029208266,1
D,2021-07-16,2021-07-20,62.0,59.99,-0.03241935483870961,4
D,2021-08-20,2021-08-23,72.46,69.05,-0.047060447143251305,3
D,2022-01-07,2022-01-10,86.64,81.79,-0.05597876269621427,3
D,2022-02-08,2022-02-09,73.43,73.07,-0.004902628353534055,1
D,2022-11-17,2022-11-18,58.29,58.21,-0.0013724481043060344,1
D,2022-12-05,2022-12-09,65.79,65.06,-0.011095911232710254,4
D,2023-03-06,2023-03-08,79.71,74.82,-0.06134738426797137,2
D,2023-03-29,2023-03-30,115.82,118.21,0.020635468830944692,1
D,2023-04-06,2023-04-11,146.64,134.39,-0.0835379159847246,5
D,2023-04-14,2023-04-17,124.85,130.79,0.047577092511013275,3
D,2023-04-28,2023-05-09,112.89,120.53,0.06767649924705466,11
D,2023-05-23,2023-05-25,113.07,105.16,-0.06995666401344292,2
D,2023-06-16,2023-06-19,122.57,137.2,0.11936036550542539,3
D,2023-07-04,2023-07-06,113.36,111.64,-0.015172900494001329,2
D,2023-07-13,2023-07-14,107.04,109.71,0.024943946188340727,1
D,2023-07-27,2023-07-31,112.86,132.57,0.1746411483253587,4
D,2023-08-01,2023-08-03,125.43,125.43,0.0,2
D,2023-08-18,2023-08-22,119.71,112.94,-0.05655333723164302,4
D,2023-09-14,2023-09-18,99.0,95.15,-0.03888888888888875,4
D,2023-11-24,2023-11-29,95.08,93.8,-0.013462347496844718,5
D,2024-01-17,2024-01-22,85.03,80.12,-0.05774432553216513,5
D,2024-02-01,2024-02-05,74.09,71.39,-0.03644216493453911,4
D,2024-02-08,2024-02-20,79.37,83.27,0.049136953508882364,12
D,2024-03-12,2024-03-15,92.84,89.24,-0.03877638948729001,3
D,2024-10-22,2024-10-24,137.48,134.41,-0.02233052080302589,2
D,2024-11-11,2024-11-13,201.29,217.71,0.08157384867603956,2
D,2024-12-03,2024-12-16,227.61,213.41,-0.06238741707306372,13
D,2025-08-14,2025-08-18,226.29,258.21,0.14105793450881587,4
D,2025-08-26,2025-09-01,280.79,287.0,0.0221161722283556,6
D,2025-09-02,2025-09-03,277.79,272.81,-0.017927211202707127,1
D,2025-09-12,2025-09-17,258.86,264.91,0.023371706714053975,5
D,2025-09-30,2025-10-09,264.22,260.65,-0.013511467716297187,9
D,2025-10-28,2025-10-30,252.41,269.51,0.06774691969414848,2
D,2025-12-09,2025-12-10,229.95,226.69,-0.014176994998912784,1
D,2026-02-25,2026-02-26,231.58,235.21,0.015674928750323724,1
D,2026-04-24,2026-04-28,234.31,227.27,-0.030045665998036708,4
D,2026-06-01,2026-06-08,226.6,206.45,-0.08892321270962056,7
D,2026-06-11,2026-06-16,196.88,210.0,0.0666395774075581,5
