variable,lag_days,correlation
sh_return,0,0.7018198407365602
sh_return,1,-0.029288939248100106
sh_return,2,0.024425632526168726
sh_return,3,0.036630514449732324
sh_return,5,-0.015233018625682814
sh_return,10,-0.001520100255331391
sz_return,0,0.7180015968285942
sz_return,1,-0.015051138579695658
sz_return,2,0.02615858528308577
sz_return,3,0.03373372746665424
sz_return,5,-0.01119575766703962
sz_return,10,0.007725819555304412
cyb_return,0,0.7123981856268489
cyb_return,1,-0.005477046588762181
cyb_return,2,0.02578796980608937
cyb_return,3,0.01914292883567612
cyb_return,5,-0.012797027464480318
cyb_return,10,0.01709799039223128
hs300_return,0,0.7124738248776754
hs300_return,1,-0.009117738251742433
hs300_return,2,0.03292096685928528
hs300_return,3,0.047681685605740355
hs300_return,5,-0.012915979438550612
hs300_return,10,0.006262868014933737
broker_return,0,0.8387406768493427
broker_return,1,-0.015571513791660318
broker_return,2,0.01896851544653805
broker_return,3,0.06171163698972048
broker_return,5,-0.012912415085354616
broker_return,10,0.024825855069275274
market_amount_change,0,0.24930425389974334
market_amount_change,1,0.0157119021225881
market_amount_change,2,0.036098000331409176
market_amount_change,3,0.004541768262705933
market_amount_change,5,-0.021464513084204054
market_amount_change,10,0.020713450093563644
stock_volume_change,0,0.3146462817161695
stock_volume_change,1,-0.016655786624675317
stock_volume_change,2,0.019270698713823274
stock_volume_change,3,0.0446844162541498
stock_volume_change,5,-0.01599884036006507
stock_volume_change,10,-0.025614884550277817
stock_turnover_change,0,0.3147908210073238
stock_turnover_change,1,-0.016336590834004776
stock_turnover_change,2,0.019689838246178072
stock_turnover_change,3,0.04524095100019258
stock_turnover_change,5,-0.01610900558868169
stock_turnover_change,10,-0.02559200907059487
