model,variable,coefficient
A,intercept,0.001444150401252999
A,sh_return,1.3768964700445971
A,sz_return,0.9925119417617904
A,cyb_return,0.17069946136511288
A,hs300_return,-0.563309598710834
B,intercept,0.0015915838373936684
B,sh_return,-0.37378906956634333
B,sz_return,1.4256789017381397
B,cyb_return,0.025484923765556534
B,hs300_return,-1.5151389526697663
B,broker_return,1.7187755816423447
C,intercept,0.0014915263200213336
C,sh_return,-0.3023770701051944
C,sz_return,1.424984273173513
C,cyb_return,0.029669862459162963
C,hs300_return,-1.5889345237497172
C,broker_return,1.6916481624090647
C,market_amount_change,0.01581160062208923
D,intercept,0.00010423257543219332
D,sh_return,-0.010435509385002232
D,sz_return,1.4422380235155654
D,cyb_return,0.05412073830619621
D,hs300_return,-1.7644274465087326
D,broker_return,1.52283160526439
D,market_amount_change,-0.009892039617178832
D,stock_volume_change,0.08100302408229773
D,stock_turnover_change,-0.06794974194331191
