model,entry_date,exit_date,entry_price,exit_price,return,holding_days
B,2017-09-22,2017-09-27,4.48,4.48,0.0,5
B,2018-04-03,2018-04-04,5.29,5.33,0.007561436672967936,1
B,2019-03-05,2019-03-07,8.03,8.59,0.06973848069738486,2
B,2019-03-08,2019-03-15,7.85,7.71,-0.017834394904458595,7
B,2020-04-15,2020-04-20,8.38,8.34,-0.004773269689737569,5
B,2020-07-08,2020-07-09,13.6,14.61,0.0742647058823529,1
B,2020-07-13,2020-07-15,14.34,16.45,0.14714086471408638,2
B,2021-01-15,2021-01-22,20.72,22.3,0.07625482625482616,7
B,2022-08-02,2022-08-03,17.66,17.45,-0.011891279728199255,1
B,2023-03-23,2023-03-28,15.4,16.79,0.09025974025974004,5
B,2023-11-07,2023-11-09,15.51,15.4,-0.007092198581560405,2
B,2024-03-12,2024-03-13,13.7,13.79,0.006569343065693456,1
