variable,lag_days,correlation
sh_return,0,0.7135792579964396
sh_return,1,-0.04974634345860843
sh_return,2,0.0289524846970284
sh_return,3,0.026418780657616797
sh_return,5,-0.04220026791468933
sh_return,10,-0.009174040639471899
sz_return,0,0.7361224643588663
sz_return,1,-0.031180072022476895
sz_return,2,0.02648306692229446
sz_return,3,0.021625817525891024
sz_return,5,-0.033753266191856555
sz_return,10,-0.007518280168802574
cyb_return,0,0.7341586789959136
cyb_return,1,-0.01801457718495088
cyb_return,2,0.025666663838447876
cyb_return,3,0.012882048162984825
cyb_return,5,-0.030836808465334712
cyb_return,10,-0.0037638233934487045
hs300_return,0,0.7212136136809143
hs300_return,1,-0.0269491320426057
hs300_return,2,0.03883392026999758
hs300_return,3,0.03693653013462211
hs300_return,5,-0.036890481345967
hs300_return,10,0.0005603122952365744
broker_return,0,0.8376143139610244
broker_return,1,-0.026691956806893034
broker_return,2,0.024926848161604623
broker_return,3,0.0513258584314517
broker_return,5,-0.036143249457922515
broker_return,10,0.01879469073458502
market_amount_change,0,0.2557228621504066
market_amount_change,1,0.004535162987825942
market_amount_change,2,0.03235536618517838
market_amount_change,3,0.01047376830566473
market_amount_change,5,-0.03735014486952398
market_amount_change,10,0.029774881073693873
stock_volume_change,0,0.31760126348170425
stock_volume_change,1,-0.017526757030814105
stock_volume_change,2,0.021804188902508476
stock_volume_change,3,0.04257069019801537
stock_volume_change,5,-0.022871317536255906
stock_volume_change,10,-0.01919296379480782
stock_turnover_change,0,0.3188477145081264
stock_turnover_change,1,-0.0171822893969557
stock_turnover_change,2,0.02381622502412719
stock_turnover_change,3,0.04386204101003724
stock_turnover_change,5,-0.024033760154240472
stock_turnover_change,10,-0.01922531328927884
