model,variable,coefficient
A,intercept,0.0003857542935255878
A,sh_return,0.9951315922397701
A,sz_return,-0.9174210502396578
A,cyb_return,1.1396613894441376
A,hs300_return,0.606576463312981
B,intercept,0.0005360344661107077
B,sh_return,-0.3537439981662677
B,sz_return,-0.4421695707940442
B,cyb_return,0.8811205283211123
B,hs300_return,0.09137017833681063
B,broker_return,1.1734099333568653
C,intercept,0.0005284141289271728
C,sh_return,-0.3501387243028654
C,sz_return,-0.4399693823310389
C,cyb_return,0.8804883119315335
C,hs300_return,0.08588229869975118
C,broker_return,1.1715651756001602
C,market_amount_change,0.0009518947645575104
D,intercept,0.00031216201057145685
D,sh_return,-0.28992089831485257
D,sz_return,-0.4020254180853899
D,cyb_return,0.857112229372865
D,hs300_return,0.04278219655737215
D,broker_return,1.1425115377368869
D,market_amount_change,-0.0048024898237989016
D,stock_volume_change,-0.0037237633813268544
D,stock_turnover_change,0.006645331752590118
